State,Forest,Year,SPBt,Spotst-1,Spotst-2,Cleridst-1,"Cleridst-1, filled in",Endo-brevicomin (1=yes),Probability of any SPB spots,Approximate spots to expect if there are spots,P(>50 spots),P(>150 spots),P(>400 spots),P(>1000 spots),P(>3000 spots)
NC ,Nash Co.,2018,0.0,0,0,78.4,78.4,1,0.04,4.00,0.00,0.00,0.00,0.00,0.00
NC ,Orange Co.,2018,0.0,0,0,50.4,50.4,1,0.04,4.00,0.00,0.00,0.00,0.00,0.00
NC ,Robeson Co.,2018,0.0,0,0,,,1,0.04,4.00,0.00,0.00,0.00,0.00,0.00
OK,Broken Bow,2018,0,0,0,209,209,1,0.03,4.00,0.00,0.00,0.00,0.00,0.00
OK,Broken Bow south,2018,0.0,0,0,,,1,0.04,4.00,0.00,0.00,0.00,0.00,0.00
OK,Leflore Co.,2018,0.0,0,0,,,1,0.04,4.00,0.00,0.00,0.00,0.00,0.00
OK,McCurtain Co.,2018,0.0,0,0,,,0,0.04,4.00,0.00,0.00,0.00,0.00,0.00
SC  ,Enoree R.D.,2018,0,0,0,101,101,1,0.03,4.00,0.00,0.00,0.00,0.00,0.00
SC  ,Francis Marion N.F.,2018,31,0,0,29,29,1,0.10,6.00,0.02,0.01,0.00,0.00,0.00
SC  ,Long Cane R.D.,2018,66,0,0,63,63,1,0.12,6.00,0.02,0.01,0.00,0.00,0.00
SC  ,Savannah River Site,2018,4,0,0,31,31,1,0.06,5.00,0.01,0.00,0.00,0.00,0.00
SC  ,Anderson Co.,2018,81.2,0,0,44.8,44.8,1,0.14,7.00,0.02,0.01,0.00,0.00,0.00
SC  ,Beaufort Co.,2018,1.4,0,0,0.0,0.0,1,0.12,7.00,0.02,0.01,0.00,0.00,0.00
SC  ,Cherokee Co.,2018,0.0,0,0,53.2,53.2,1,0.04,4.00,0.00,0.00,0.00,0.00,0.00
SC  ,Colleton Co.,2018,0.0,0,0,4.2,4.2,1,0.08,5.00,0.01,0.00,0.00,0.00,0.00
SC  ,Dorchester Co.,2018,0.0,0,0,4.2,4.2,1,0.08,5.00,0.01,0.00,0.00,0.00,0.00
SC  ,Florence Co.,2018,0.0,0,0,12.6,12.6,1,0.06,5.00,0.01,0.00,0.00,0.00,0.00
SC  ,Georgetown Co.,2018,0.0,0,0,8.4,8.4,1,0.06,5.00,0.01,0.00,0.00,0.00,0.00
SC  ,Greenville Co.,2018,4.2,0,0,50.4,50.4,1,0.05,4.00,0.01,0.00,0.00,0.00,0.00
SC  ,Hampton Co. ,2018,0.0,0,0,30.8,30.8,1,0.05,4.00,0.01,0.00,0.00,0.00,0.00
SC  ,Horry Co.,2018,0.0,0,0,2.8,2.8,1,0.08,5.00,0.01,0.00,0.00,0.00,0.00
SC  ,Jasper Co.,2018,1.4,0,0,11.2,11.2,1,0.07,5.00,0.01,0.00,0.00,0.00,0.00
SC  ,Kershaw Co.,2018,0.0,0,0,42.0,42.0,1,0.04,4.00,0.00,0.00,0.00,0.00,0.00
SC  ,Lancaster Co.,2018,0.0,0,0,28.0,28.0,1,0.05,4.00,0.01,0.00,0.00,0.00,0.00
SC  ,Laurens Co.,2018,1.4,0,0,40.6,40.6,1,0.05,4.00,0.01,0.00,0.00,0.00,0.00
SC  ,Lexington Co.,2018,1.4,0,0,18.2,18.2,1,0.06,5.00,0.01,0.00,0.00,0.00,0.00
SC  ,Pickens Co.,2018,498.4,0,0,21.0,21.0,1,0.34,12.00,0.09,0.04,0.02,0.01,0.00
SC  ,Richland Co.,2018,0.0,0,0,11.2,11.2,1,0.06,5.00,0.01,0.00,0.00,0.00,0.00
SC  ,Spartanburg Co.,2018,2.2,0,0,33.6,33.6,1,0.05,5.00,0.01,0.00,0.00,0.00,0.00
SC  ,Union Co. ,2018,0.0,0,0,173.6,173.6,1,0.03,4.00,0.00,0.00,0.00,0.00,0.00
SC  ,Williamsburg Co.,2018,0.0,0,0,2.8,2.8,1,0.08,5.00,0.01,0.00,0.00,0.00,0.00
SC  ,York Co.,2018,0.0,0,0,23.8,23.8,1,0.05,4.00,0.01,0.00,0.00,0.00,0.00
TN,Ocoee R.D.,2018,34,0,0,7,7,0,0.35,12.00,0.10,0.05,0.02,0.01,0.00
TX,Angelina R.D.,2018,0,0,0,43.4,43.4,1,0.04,4.00,0.00,0.00,0.00,0.00,0.00
TX,Davy Crockett R.D.,2018,0,0,0,172.2,172.2,1,0.03,4.00,0.00,0.00,0.00,0.00,0.00
TX,Sabine R.D.,2018,0,0,0,43.4,43.4,1,0.04,4.00,0.00,0.00,0.00,0.00,0.00
TX ,Bowie Co.,2018,0.0,0,0,,,1,0.04,4.00,0.00,0.00,0.00,0.00,0.00
TX ,Cass Co.,2018,0.0,0,0,,,1,0.04,4.00,0.00,0.00,0.00,0.00,0.00
TX ,Polk Co.,2018,0.0,0,0,,,1,0.04,4.00,0.00,0.00,0.00,0.00,0.00
VA  ,Franklin Co.,2018,0,0,0,29,29,1,0.05,4.00,0.01,0.00,0.00,0.00,0.00
VA  ,Hanover Co.,2018,0,0,0,20,20,1,0.05,5.00,0.01,0.00,0.00,0.00,0.00
VA  ,Henry Co.,2018,0,0,0,7,7,1,0.07,5.00,0.01,0.00,0.00,0.00,0.00
VA  ,New Castle R.D.,2018,0,0,0,13,13,1,0.06,5.00,0.01,0.00,0.00,0.00,0.00
VA  ,Appomattox Co.,2018,0.0,0,0,,,1,0.04,4.00,0.00,0.00,0.00,0.00,0.00
VA  ,Chesterfield Co.,2018,18.4,0,0,,,1,0.07,5.00,0.01,0.00,0.00,0.00,0.00
VA  ,Cumberland Co.,2018,0.0,0,0,,,1,0.04,4.00,0.00,0.00,0.00,0.00,0.00
VA  ,Glochester Co.,2018,0.0,0,0,29.4,29.4,1,0.05,4.00,0.01,0.00,0.00,0.00,0.00
VA  ,Gloucester Co.,2018,0.0,0,0,29.4,29.4,1,0.05,4.00,0.01,0.00,0.00,0.00,0.00
VA  ,Hallifax Co.,2018,0.0,0,0,7,7,1,0.07,5.00,0.01,0.00,0.00,0.00,0.00
VA  ,Sussx Co.,2018,0.0,0,0,58.8,58.8,1,0.04,4.00,0.00,0.00,0.00,0.00,0.00
